Year,UniqueCarrier,Origin,Dest,count
1992,US,BGM,PIT,29
1992,US,PHL,ORH,6
1993,US,PHL,IND,26
1994,US,BOS,SYR,30
1997,WN,BNA,PHX,61
2004,UA,ORD,CLT,18
2006,US,PHL,MCO,8
2007,WN,SMF,SNA,7
2007,WN,TPA,MSY,3
2007,WN,ABQ,MDW,2
2007,WN,MCI,IND,2
2008,WN,PHX,BUR,10
2008,WN,PHX,SJC,6
2008,WN,PHX,SNA,8
1988,PI,MYR,BWI,31
1991,US,CLE,LGA,28
2003,UA,STL,ORD,23
2004,UA,DEN,MIA,28
2005,UA,MSY,IAD,31
2006,US,LGA,CLT,8
2006,US,RSW,CLT,4
2007,WN,SMF,ONT,1
2007,WN,BNA,LAS,4
2008,WN,SAN,HOU,1
1990,US,LGA,ORF,27
1991,US,ACY,PIT,31
1994,US,IND,TPA,28
1994,US,MCO,BOS,4
2001,US,MKE,PIT,31
2001,US,IAD,CLT,31
2001,US,ATL,PIT,27
2003,UA,DEN,DTW,25
2004,UA,OKC,DEN,25
2006,US,DCA,IND,4
2006,US,LAS,DEN,4
2007,WN,STL,HOU,5
2007,WN,BDL,LAS,1
2007,WN,BWI,MCO,9
2007,WN,MCO,STL,4
2008,WN,LIT,MDW,1
2008,WN,MCI,DEN,4
2008,WN,ONT,LAS,10
2008,WN,SAT,LAX,1
2008,WN,SLC,ABQ,2
1990,US,DAY,EWR,30
1997,US,CLT,PHX,31
2002,US,AVP,PHL,12
2003,UA,ORD,BDL,22
2006,US,CLT,ALB,2
2006,US,SEA,LAS,4
2007,WN,BUF,MDW,3
2007,WN,LAS,TUL,1
2007,WN,MCO,IAD,2
1993,US,TUS,PHX,30
1999,HP,ABQ,PHX,181
2004,UA,SAN,ORD,25
2005,UA,ORD,PIT,28
2006,US,PHX,MCI,3
2007,WN,BUR,OAK,16
2007,WN,BUR,SJC,9
2007,WN,CMH,MCO,2
2008,WN,MSY,LAS,2
2008,WN,RNO,OAK,4
2008,WN,SDF,BWI,5
1989,UA,HNL,OGG,27
1994,US,DCA,PIT,4
1998,HP,BOS,PHX,62
1999,DL,SLC,PHL,62
2001,US,PIT,MKE,28
2004,UA,BOS,DEN,4
2005,UA,CLT,ORD,27
2006,US,DCA,BDL,10
2006,US,IAH,PHL,1
2007,WN,TPA,CMH,2
2007,WN,TPA,FLL,8
2007,WN,TPA,MCI,1
2007,WN,ELP,PHX,7
2007,WN,HOU,BNA,5
2008,WN,RNO,SEA,2
1990,US,LGA,PIT,31
1992,US,PIT,PVD,47
1993,US,GSO,CLT,31
1994,US,PBI,PHL,27
1994,US,BUF,EWR,25
2002,US,DCA,PIT,26
2006,US,CLT,SJU,4
2007,WN,ELP,MAF,1
2007,WN,GEG,BOI,3
2007,WN,HOU,CRP,6
2008,WN,MCO,BWI,9
2008,WN,MHT,PHL,6
1992,US,CLE,IND,25
1994,US,PBI,BWI,4
2001,US,PIT,MSY,31
2002,US,PIT,ABE,31
2006,US,SJC,PHX,5
2007,WN,TUS,ABQ,2
2007,WN,ABQ,ELP,3
2007,WN,LBB,ABQ,1
2007,WN,MCI,LAX,4
2007,WN,MCO,PIT,3
2007,WN,MDW,ISP,7
2008,WN,LAS,AMA,1
1988,PS,BUR,SJC,24
1990,US,PHL,PIT,62
1992,US,PIT,IAH,30
1994,US,BUF,BOS,3
2003,UA,ORD,MSY,3
2003,UA,IAD,BOS,31
2003,UA,CLE,ORD,6
2006,US,PHX,MIA,1
2006,US,RNO,LAS,1
2007,WN,STL,BHM,1
2007,WN,LAX,RNO,3
1989,UA,HNL,SFO,59
1991,US,DAY,PIT,23
1993,US,CLE,PIT,29
1994,US,PIT,TOL,31
1998,US,CLT,PHX,31
2000,HP,CMH,PHX,126
2003,UA,ORD,ATL,30
2003,UA,ONT,DEN,6
2003,UA,ORD,TUS,25
2006,US,LAS,BWI,1
2006,US,PHX,MSP,4
2007,WN,HOU,TUL,4
2008,WN,SDF,TPA,2
1991,US,CLE,BWI,7
1992,US,PHX,IND,31
1992,US,PHL,PBI,28
1994,US,PIT,ORD,53
1999,US,RSW,PHL,93
2006,US,CLT,DTW,4
2006,US,DCA,CMH,2
2006,US,FLL,CLT,14
2006,US,PBI,PHL,4
2006,US,PHL,FLL,7
2006,US,SNA,PHX,7
2006,US,TPA,PHX,2
2007,WN,DEN,SLC,4
2007,WN,LAS,MCI,6
2008,WN,IND,MCI,2
2008,WN,JAX,BHM,1
2008,WN,LAS,BDL,1
2008,WN,MDW,AUS,2
2008,WN,MHT,BWI,11
