Year,Origin,Dest,count
2007,MCI,TUL,2
2008,PHL,MHT,5
2008,PHX,ELP,6
1988,BWI,JFK,19
1990,PIT,EWR,18
1994,PIT,ORD,44
2001,PIT,SBN,7
2006,DCA,PBI,6
2007,LAS,LIT,1
2008,MCI,TPA,1
2008,PHL,TPA,2
2008,SAN,OAK,14
1997,ATL,PHX,183
1997,BUR,PHX,170
2001,CLT,ROA,20
2002,MCO,PIT,18
2003,ORD,SNA,4
2006,CLT,BDL,6
2006,SEA,LAS,2
2008,JAX,IND,1
1990,EWR,SYR,20
1992,PIT,DCA,17
1992,LAX,PIT,28
1994,STL,CLT,2
2005,SNA,DEN,11
2006,PBI,PHL,3
2007,BNA,DEN,1
2008,SAN,MCI,2
2003,MIA,ORD,4
2006,PHL,RIC,1
2006,PHX,SEA,2
2006,TPA,PHL,4
2008,SAT,MCO,1
1992,LGA,MCI,9
2004,PDX,ORD,18
2006,DEN,PIT,3
2006,MSY,CLT,1
2007,ALB,BWI,3
2007,BDL,MCO,1
2007,FLL,HOU,2
2007,LAS,MHT,1
2008,SEA,LAS,4
1988,SAN,SFO,11
1992,CLE,IND,2
1993,PIT,FLL,23
2003,LAS,ORD,6
2004,SFO,DFW,3
2007,STL,BWI,2
2007,BUF,BWI,3
2007,BWI,OAK,1
2007,MAF,AUS,1
2008,PHX,MCO,1
2008,PIT,MDW,5
2008,PVD,MDW,3
2008,SAT,MDW,2
2002,BWI,PIT,1
2003,AUS,DEN,1
2003,ORD,MIA,7
2006,PHX,ANC,1
2007,ISP,MCO,1
2007,LAS,RNO,7
2007,MCO,BHM,1
2007,MCO,SAT,1
1994,MCO,CLT,9
1994,CLT,DAY,12
1995,RDU,PHL,52
2001,STL,CLT,6
2002,STL,PIT,5
2003,SFO,RNO,6
2006,PHL,BTV,1
2006,DCA,CMH,1
2007,STL,TUL,1
2008,LAX,SAT,1
2008,SAN,ELP,1
1993,LGA,GSP,10
1994,PIT,FLL,24
2001,PHL,PWM,17
2006,PHX,SJC,2
2006,SMF,PHX,2
2007,LAS,MDW,11
2007,MCI,LAS,2
2008,MCO,BHM,3
2008,MSY,BWI,1
1990,SFO,PIT,21
1994,CLE,PHL,2
1994,MCI,IND,17
2001,BOS,ROC,12
2001,PIT,MSY,14
2002,CLT,BDL,26
2004,ORD,SJC,6
2005,EGE,DEN,17
2006,ORD,LAS,2
2007,ABQ,DAL,6
2008,LAX,AUS,1
1987,LAS,LAX,62
1987,SCK,LAX,19
1989,MKE,ORD,7
1991,PHL,ORF,10
1992,PHL,BDL,17
2001,CRW,PIT,7
2001,GSO,PHL,3
2001,DCA,CMH,3
2004,MSY,DEN,4
2006,RDU,PHL,3
2007,BOI,SLC,2
2007,HOU,SAT,5
2008,LAS,OKC,1
2008,MCI,DEN,4
2008,MCO,PHX,1
2008,MDW,SAT,2
2008,PDX,BOI,3
1987,LAX,RNO,3
1989,SFO,LAX,23
1993,MCO,PIT,39
2000,COS,PHX,27
2005,MSY,IAD,15
2007,BNA,TPA,4
2007,DTW,STL,3
2007,MCI,DEN,2
2007,MDW,BWI,6
2008,JAN,MDW,1
2008,MCI,OAK,1
2008,MCI,OKC,3
2008,OKC,DEN,1
1988,BWI,BGM,21
1997,DEN,PHX,290
1999,ABQ,PHX,379
2005,DEN,SAT,4
2005,DAY,ORD,9
2005,DEN,STL,10
2007,TPA,PVD,1
2008,LAS,SAT,3
1988,LAX,ABQ,3
1990,BDL,PIT,25
1991,CLT,CHS,16
1992,IND,PHX,16
1993,DFW,PIT,24
2001,PIT,CLT,9
2004,ORD,BWI,21
2006,ORF,CLT,1
2007,MAF,DAL,1
2008,LAX,PHX,11
1989,HNL,LIH,21
1995,PBI,PHL,84
2002,CLT,CLE,24
2002,ORF,CLT,12
2004,ORD,DTW,10
2004,BOS,DEN,4
2008,RDU,MCO,3
2008,SEA,SMF,5
1992,MCI,SAN,10
1992,FLL,PHL,26
1993,IND,BWI,12
2002,CLT,EWR,1
2005,ORD,SLC,25
2006,LAS,PHX,3
2006,PVD,PHL,3
2007,SMF,SNA,2
2007,ABQ,AMA,1
2007,MCI,PDX,1
2007,MDW,DEN,5
2008,JAN,HOU,3
2008,LAS,ONT,9
1990,PIT,BUF,25
1990,PIT,ALB,23
1990,PIT,ABQ,24
1991,PHL,BOS,15
2001,DCA,CLT,12
2006,PIT,ORD,4
2007,BOI,LAS,1
1988,SFO,LAX,48
1992,DFW,PIT,17
2004,ORD,CVG,18
2006,CLT,SJU,2
2006,PHX,CLT,2
2006,PHX,MKE,1
2007,TPA,BDL,2
2007,AUS,BWI,1
2007,BWI,CMH,5
2008,ISP,MDW,3
1988,UCA,SYR,22
1991,CLE,DCA,6
1992,ATL,PHL,7
1993,SAN,PIT,49
2000,BOS,PHX,69
2003,IAD,BOS,5
2003,ORD,BTV,8
2006,BOS,LAS,3
2007,BUR,PHX,6
2007,ISP,TPA,2
2007,LAS,BWI,3
2007,LAX,RNO,1
2008,MDW,SLC,2
2008,OAK,DEN,5
2008,PDX,ABQ,1
1989,ORD,SFO,12
1992,DSM,PIT,5
1994,PIT,ERI,2
1994,LGA,MCO,25
2003,ONT,DEN,5
2005,ORD,ATL,17
2007,HRL,HOU,4
2007,MCO,SDF,1
2007,MDW,ABQ,1
2008,MHT,PHX,1
2008,SAN,LAS,12
1992,CLE,PIT,15
1994,BOS,PIT,23
1998,CMH,PHX,65
2002,SAV,CLT,5
2007,BNA,BHM,2
2007,DAL,TUL,3
2008,LAS,PVD,1
2008,MCI,SAN,2
2008,MCO,SDF,2
1990,PIT,TPA,29
2004,MSY,LAX,1
2004,DEN,DFW,6
2004,ORD,IND,17
2006,PHL,MIA,4
2007,STL,OKC,1
2007,BHM,BWI,1
2007,FLL,MDW,3
2008,MSY,PHX,1
2008,SJC,BUR,3
2008,SLC,ABQ,1
1991,BWI,PBI,16
1993,PHL,SFO,23
2001,PIT,PVD,4
2002,PHL,BOS,12
2003,IAH,DEN,2
2004,SAT,DEN,11
2004,PBI,ORD,9
2006,DFW,PHX,3
2006,PHL,MHT,3
2006,PHX,BWI,3
2006,TPA,CLT,1
2007,TPA,PHX,1
2007,FLL,BWI,3
2007,LAS,BDL,1
2008,LIT,STL,2
1987,SNA,SJC,46
1987,BUR,LAS,56
1989,CMH,ORD,1
